t,Linf,L2_over_x
0.0,1.0,0.19611613513818404
0.10416666666666667,1.7733520134533376,0.5612256452872814
0.20833333333333334,1.5980733367173252,0.47957429175840255
0.3125,1.4625212191582104,0.40293287152982715
0.4166666666666667,1.3576917161072055,0.34480975599577113
0.5208333333333334,1.2766216087927718,0.3023180819395306
0.625,1.2139258781929119,0.271754710744778
0.7291666666666667,1.165440008591734,0.25002241461399843
0.8333333333333334,1.1279433637614555,0.23468197921407627
0.9375,1.0989452579777323,0.22388175873539595
1.0416666666666667,1.076519514469634,0.21626384164431936
1.1458333333333335,1.0591765205977373,0.2108609682166206
1.25,1.045764281333599,0.20699840132208264
1.3541666666666667,1.035391899160387,0.20421117760723811
1.4583333333333335,1.0273703964278351,0.20218032258249277
1.5625,1.0211669512256794,0.20068663610362147
1.6666666666666667,1.016369504325508,0.1995785314952083
1.7708333333333335,1.012659389094635,0.19875019374450115
1.875,1.0097901640914622,0.1981269325462028
1.9791666666666667,1.007571243090071,0.19765540066812834
2.0833333333333335,1.0058552361150397,0.1972970474433529
2.1875,1.0045281586015147,0.19702370730673865
2.291666666666667,1.0035018605932728,0.19681459737994453
2.3958333333333335,1.0027081709338506,0.19665424877431575
2.5,1.0020943693964242,0.1965310624526019
